year,position,team,team_points
2025,1,McLaren,756
2025,2,Mercedes,398
2025,3,Red Bull Racing,366
2025,4,Ferrari,362
2025,5,Williams,111
2025,6,Racing Bulls,82
2025,7,Aston Martin,72
2025,8,Haas F1 Team,70
2025,9,Kick Sauber,62
2025,10,Alpine,22
2024,1,McLaren Mercedes,666
2024,2,Ferrari,652
2024,3,Red Bull Racing Honda RBPT,589
2024,4,Mercedes,468
2024,5,Aston Martin Aramco Mercedes,94
2024,6,Alpine Renault,65
2024,7,Haas Ferrari,58
2024,8,RB Honda RBPT,46
2024,9,Williams Mercedes,17
2024,10,Kick Sauber Ferrari,4
2023,1,Red Bull Racing Honda RBPT,860
2023,2,Mercedes,409
2023,3,Ferrari,406
2023,4,McLaren Mercedes,302
2023,5,Aston Martin Aramco Mercedes,280
2023,6,Alpine Renault,120
2023,7,Williams Mercedes,28
2023,8,AlphaTauri Honda RBPT,25
2023,9,Alfa Romeo Ferrari,16
2023,10,Haas Ferrari,12
2022,1,Red Bull Racing RBPT,759
2022,2,Ferrari,554
2022,3,Mercedes,515
2022,4,Alpine Renault,173
2022,5,McLaren Mercedes,159
2022,6,Alfa Romeo Ferrari,55
2022,7,Aston Martin Aramco Mercedes,55
2022,8,Haas Ferrari,37
2022,9,AlphaTauri RBPT,35
2022,10,Williams Mercedes,8
2021,1,Mercedes,613.5
2021,2,Red Bull Racing Honda,585.5
2021,3,Ferrari,323.5
2021,4,McLaren Mercedes,275
2021,5,Alpine Renault,155
2021,6,AlphaTauri Honda,142
2021,7,Aston Martin Mercedes,77
2021,8,Williams Mercedes,23
2021,9,Alfa Romeo Racing Ferrari,13
2021,10,Haas Ferrari,0
2020,1,Mercedes,573
2020,2,Red Bull Racing Honda,319
2020,3,McLaren Renault,202
2020,4,Racing Point BWT Mercedes,195
2020,5,Renault,181
2020,6,Ferrari,131
2020,7,AlphaTauri Honda,107
2020,8,Alfa Romeo Racing Ferrari,8
2020,9,Haas Ferrari,3
2020,10,Williams Mercedes,0
